date,store_id,product_id,sales,is_anomaly,impressions,discount(%),day_of_week
2024-04-08,9,18,544.9,0,7890,0,0
2024-02-24,1,17,873.78,0,11909,10,5
2024-09-14,6,4,1436.41,0,15766,5,5
2024-05-17,4,6,1314.15,0,10104,5,4
2024-09-29,8,12,1878.18,0,7236,5,6
2024-02-09,9,12,1711.53,0,7853,0,4
2024-11-18,3,11,1831.84,0,3213,15,0
2024-06-15,4,3,1453.23,0,12332,10,5
2024-08-26,10,6,1116.54,0,12885,10,0
2024-04-08,1,12,1252.04,0,9475,0,0
2024-03-20,3,8,0.0,1,12746,10,2
2024-01-25,1,19,863.78,0,6776,20,3
2024-05-11,7,18,811.34,0,7099,0,5
2024-03-02,5,5,793.4,0,4781,0,5
2024-01-14,10,5,745.13,0,9224,10,6
2024-03-02,10,8,754.06,0,10871,10,5
2024-07-21,7,4,2004.57,0,4207,10,6
2024-05-17,8,11,1848.98,0,9444,15,4
2024-12-30,4,16,1770.87,0,8266,20,0
2024-04-15,3,2,1470.58,0,15681,0,0
2024-04-18,6,17,1001.18,0,8327,15,3
2024-09-20,8,18,1018.19,0,10259,0,4
2024-04-13,6,8,1011.49,0,13328,0,5
2024-01-18,5,2,621.12,0,8755,10,3
2024-02-05,7,3,1368.25,0,8132,5,0
2024-12-03,3,15,1025.68,0,14187,10,1
2024-03-19,1,18,1226.27,0,10076,0,1
2024-10-26,7,11,1581.79,0,5204,10,5
2024-10-07,5,15,495.47,0,10409,15,0
2024-04-25,1,11,728.68,0,10620,0,3
2024-07-24,6,19,421.87,0,8504,15,2
2024-04-10,8,3,1670.38,0,8582,0,2
2024-07-09,8,9,1340.97,0,9105,15,1
2024-04-05,3,10,1086.49,0,8206,5,4
2024-11-10,5,2,4623.03,1,8563,20,6
2024-01-23,8,10,707.01,0,13919,5,1
2024-06-13,8,15,1553.16,0,8430,10,3
2024-10-14,2,2,916.76,0,7921,0,0
2024-02-13,3,3,775.68,0,15255,5,1
2024-11-20,5,10,1629.4,0,10324,15,2
2024-10-18,1,18,1280.36,0,9521,20,4
2024-04-28,8,9,1964.28,0,7793,20,6
2024-08-17,4,10,591.15,0,10739,15,5
2024-08-16,9,10,1213.24,0,4097,0,4
2024-09-08,7,11,1609.2,0,10174,5,6
2024-08-12,10,3,327.78,1,9792,10,0
2024-03-25,3,12,1642.95,0,7672,10,0
2024-08-17,10,18,1918.43,0,6736,10,5
2024-01-29,2,9,2117.24,0,14716,0,0
2024-10-12,8,7,1923.6,0,9723,20,5
2024-10-20,9,1,4279.06,1,15841,5,6
2024-12-27,1,2,973.26,0,12966,15,4
2024-01-18,7,7,1061.18,0,8752,10,3
2024-07-18,3,12,1512.77,0,6361,0,3
2024-12-15,10,17,1207.82,0,5080,15,6
2024-06-23,10,7,1108.89,0,13609,15,6
2024-10-17,7,11,1373.86,0,10698,5,3
2024-01-31,3,2,1377.09,0,9600,5,2
2024-02-28,4,8,899.26,0,9662,15,2
2024-06-11,10,3,2068.2,0,9424,10,1
2024-11-09,9,9,1983.47,0,7749,5,5
2024-04-25,2,18,1045.14,0,4284,0,3
2024-02-04,10,4,1276.18,0,13554,10,6
2024-06-10,7,13,1178.24,0,12408,10,0
2024-10-23,5,18,126.9,1,11733,15,2
2024-07-06,6,7,1635.84,0,13564,5,5
2024-05-27,8,8,1208.19,0,7555,0,0
2024-08-25,7,14,2180.94,0,7383,15,6
2024-11-08,1,7,1683.79,0,6687,5,4
2024-05-29,9,8,478.02,0,8322,15,2
2024-02-07,7,9,119.76,1,6740,15,2
2024-02-19,10,19,1195.86,0,13452,10,0
2024-10-19,7,19,1910.21,0,10246,5,5
2024-07-02,5,5,901.01,0,8734,15,1
2024-03-03,2,6,2390.53,0,10911,0,6
2024-03-07,10,14,990.33,0,7269,5,3
2024-06-16,1,12,1471.5,0,9637,5,6
2024-10-18,5,12,1380.28,0,9794,20,4
2024-11-03,4,20,2767.78,0,12565,0,6
2024-04-21,4,2,686.51,0,8292,5,6
2024-09-02,9,10,1092.43,0,9266,5,0
2024-02-27,8,5,1120.69,0,7114,5,1
2024-08-06,6,19,436.97,0,8385,15,1
2024-02-17,2,16,2086.37,0,10844,0,5
2024-12-23,5,15,618.27,0,9028,15,0
2024-02-21,8,3,1697.65,0,8749,10,2
2024-05-20,4,7,1818.21,0,7045,0,0
2024-07-18,6,1,1355.98,0,5536,20,3
2024-01-03,6,17,891.87,0,13363,0,2
2024-05-20,2,16,1793.75,0,12088,10,0
2024-07-09,7,18,335.69,0,8877,20,1
2024-07-07,3,18,1090.03,0,11925,0,6
2024-03-23,2,17,1224.01,0,12838,20,5
2024-06-17,10,19,1330.14,0,5318,0,0
2024-10-16,2,9,1983.68,0,12410,15,2
2024-05-25,9,4,1170.49,0,11698,5,5
2024-09-29,9,4,1076.74,0,12225,10,6
2024-09-01,6,20,809.59,0,6791,0,6
2024-06-19,7,13,1147.1,0,5853,15,2
2024-10-24,4,14,527.44,0,13042,0,3
2024-06-09,4,12,2079.29,0,13649,15,6
2024-02-08,1,4,984.85,0,16118,20,3
2024-07-15,5,20,1424.78,0,2705,0,0
2024-12-11,6,6,2175.87,0,8007,10,2
2024-02-01,7,9,871.16,0,12811,20,3
2024-11-24,8,4,2569.39,0,12096,15,6
2024-12-14,5,20,2308.69,0,17665,20,5
2024-02-14,3,11,1268.31,0,9389,15,2
2024-01-29,2,12,754.07,0,12940,5,0
2024-10-03,6,10,1359.12,0,11321,5,3
2024-05-08,10,11,1552.46,0,11958,5,2
2024-04-21,3,15,1149.88,0,12822,20,6
2024-11-20,2,3,2298.18,0,13149,20,2
2024-07-05,3,4,1122.3,0,10060,10,4
2024-11-22,6,19,713.77,0,4323,5,4
2024-09-16,1,2,834.98,0,8383,10,0
2024-03-28,5,3,2444.13,1,14922,10,3
2024-05-27,3,14,1352.09,0,9848,10,0
2024-04-28,1,7,1757.04,0,9126,20,6
2024-02-21,7,6,1127.44,0,8012,0,2
2024-06-10,7,17,467.39,0,13152,0,0
2024-01-06,10,16,2001.41,0,11371,20,5
2024-09-04,5,10,1516.95,0,12168,15,2
2024-01-08,7,2,6211.01,1,12138,20,0
2024-12-06,8,2,790.5,0,7491,15,4
2024-12-09,5,9,2303.79,0,4665,0,0
2024-12-30,7,15,1627.44,0,15401,0,0
2024-11-11,1,15,2623.23,0,6070,15,0
2024-01-25,5,15,535.64,0,8153,15,3
2024-02-27,3,1,782.33,0,12242,0,1
2024-09-12,3,2,1429.19,0,11079,5,3
2024-08-26,5,13,1170.57,0,4752,5,0
2024-12-11,5,15,872.98,0,11119,5,2
2024-07-18,8,1,520.8,0,9088,0,3
2024-11-07,9,7,964.67,0,14666,10,3
2024-08-27,8,6,1439.31,0,9171,20,1
2024-07-06,2,2,1113.97,0,8576,20,5
2024-04-10,5,3,842.29,0,12687,10,2
2024-07-09,5,11,686.61,0,6148,15,1
2024-08-03,4,20,2026.64,0,3097,5,5
2024-07-16,7,11,0.0,1,10098,0,1
2024-02-21,9,8,571.95,0,10247,20,2
2024-12-16,1,12,1537.62,0,7151,15,0
2024-03-23,5,12,1764.22,0,6227,15,5
2024-01-20,9,1,1155.45,0,8136,0,5
2024-02-25,7,6,1018.36,0,8660,0,6
2024-02-12,9,15,1398.19,0,10064,15,0
2024-10-30,10,10,1764.75,0,13108,5,2
2024-09-05,10,1,1566.48,0,9682,0,3
2024-01-27,7,3,1895.0,0,10756,5,5
2024-05-29,2,10,1806.1,0,12136,20,2
2024-02-09,5,13,1105.3,0,7983,10,4
2024-08-24,6,9,1876.58,0,9717,5,5
2024-06-08,2,9,766.94,1,6623,15,5
2024-04-27,1,8,2201.28,0,11275,15,5
2024-07-21,9,19,2260.56,0,12170,20,6
2024-06-01,9,15,1650.4,0,8463,15,5
2024-05-23,5,10,1472.48,0,6078,10,3
2024-10-11,5,20,1559.92,0,14027,5,4
2024-11-26,1,16,1539.98,0,4223,0,1
2024-09-15,7,9,453.15,1,14043,5,6
2024-03-24,2,16,2155.43,0,9816,5,6
2024-10-15,3,1,837.12,0,9253,20,1
2024-02-16,8,9,1692.41,0,6615,5,4
2024-06-12,8,5,1125.73,0,11079,0,2
2024-11-28,2,13,1805.86,0,6762,20,3
2024-12-15,5,12,2440.48,0,12577,15,6
2024-05-10,6,13,1340.85,0,9365,0,4
2024-06-06,7,13,2984.03,1,14032,15,3
2024-10-19,8,3,1903.8,0,11669,10,5
2024-07-02,3,12,1606.9,0,16705,15,1
2024-12-22,10,5,1354.53,0,7812,0,6
2024-08-07,6,20,539.64,0,7043,15,2
2024-06-17,2,3,2091.9,0,12748,20,0
2024-11-01,5,20,2183.95,0,8630,0,4
2024-03-17,7,3,1973.02,0,8902,5,6
2024-01-08,2,7,1074.58,0,7174,0,0
2024-07-18,3,11,1416.57,0,16617,10,3
2024-08-14,8,2,504.65,0,11813,5,2
2024-02-18,2,20,1892.7,0,2749,0,6
2024-06-17,4,17,562.22,0,8923,20,0
2024-10-09,2,13,1251.06,0,6160,5,2
2024-12-25,6,19,706.9,0,12070,15,2
2024-03-16,9,11,1538.81,0,7571,10,5
2024-05-05,7,20,1632.79,0,12775,20,6
2024-08-07,5,10,1281.28,0,11772,5,2
2024-12-27,5,9,2472.77,0,15583,5,4
2024-04-10,8,4,0.0,1,5492,10,2
2024-10-23,4,17,475.78,0,10468,20,2
2024-08-31,5,15,448.05,0,14559,15,5
2024-09-25,2,10,1609.06,0,5035,0,2
2024-08-04,4,13,1563.39,0,13927,20,6
2024-03-07,1,11,633.64,0,11602,20,3
2024-06-15,6,3,2285.46,0,9650,0,5
2024-04-12,5,5,692.14,0,6532,10,4
2024-07-20,7,17,550.0,0,11836,5,5
2024-06-19,3,11,0.0,1,8057,20,2
2024-02-16,3,19,1932.91,0,14605,0,4
2024-03-09,5,1,594.71,0,12068,15,5
2024-05-23,5,17,5696.12,1,6524,20,3
2024-12-19,6,4,1439.87,0,12745,5,3
2024-09-01,4,14,658.46,0,13555,10,6
2024-11-08,8,5,1502.65,0,8802,20,4
2024-05-12,9,14,771.27,0,13216,15,6
2024-02-09,9,3,825.08,0,3111,5,4
2024-10-04,2,15,762.61,0,13435,20,4
2024-05-10,8,18,1028.05,0,8261,5,4
2024-10-16,8,19,1354.83,0,9055,0,2
2024-12-14,8,5,1646.52,0,14586,0,5
2024-12-15,6,2,1889.51,0,14974,0,6
2024-08-13,8,8,1255.72,0,12034,15,1
2024-03-18,8,17,1233.51,0,8844,10,0
2024-04-08,6,4,1223.98,0,11819,5,0
2024-04-30,5,8,1465.71,0,10286,20,1
2024-01-02,7,20,333.05,1,11349,10,1
2024-08-14,4,13,1065.17,0,7564,0,2
2024-09-15,1,10,2185.25,0,12265,20,6
2024-02-21,7,12,692.62,0,11343,5,2
2024-05-14,5,8,5418.56,1,10455,20,1
2024-09-25,4,5,1767.42,0,13980,0,2
2024-11-29,2,18,1419.51,0,10193,15,4
2024-10-04,8,13,562.77,0,7253,5,4
2024-07-01,1,16,1359.29,0,12560,20,0
2024-11-17,3,5,1508.28,0,6620,20,6
2024-01-27,6,3,2230.63,0,11423,20,5
2024-12-06,5,11,1106.43,0,5882,5,4
2024-09-20,1,15,1987.49,0,11270,10,4
2024-01-06,8,1,769.68,0,14747,15,5
2024-05-18,8,6,1994.7,0,12447,20,5
2024-12-17,9,18,884.13,0,12329,10,1
2024-08-26,10,12,1791.47,0,7104,20,0
2024-11-15,10,6,1098.86,0,5613,20,4
2024-12-27,1,11,849.62,0,8307,15,4
2024-08-21,7,20,1589.83,0,11598,20,2
2024-01-07,8,5,1345.55,0,10910,15,6
2024-11-09,2,4,1194.04,0,13184,0,5
2024-01-06,9,18,0.0,1,7228,10,5
2024-09-25,3,15,828.71,0,13099,0,2
2024-09-28,9,8,854.47,0,15326,10,5
2024-07-29,7,9,1004.89,0,10777,5,0
2024-12-15,6,8,1334.63,0,8618,0,6
2024-08-12,2,3,1727.91,0,4342,10,0
2024-09-27,5,14,1440.98,0,12914,10,4
2024-08-25,7,11,1671.01,0,6047,10,6
2024-09-06,8,5,1280.89,0,10024,5,4
2024-04-26,4,7,1856.86,0,7403,20,4
2024-11-13,10,9,1326.28,0,11269,5,2
2024-10-23,5,19,726.86,0,15033,15,2
2024-07-04,7,18,595.79,0,7150,20,3
2024-02-28,1,1,1157.61,0,8305,5,2
2024-03-29,1,5,1132.4,0,7620,15,4
2024-02-09,7,15,1455.03,0,10194,15,4
2024-08-14,9,18,750.92,0,4055,20,2
2024-09-06,5,5,848.91,0,8556,0,4
2024-07-04,5,1,500.07,0,13205,5,3
2024-11-25,6,4,1438.99,0,8885,20,0
2024-08-20,9,6,983.57,0,9263,0,1
2024-03-03,3,1,1003.06,0,11210,0,6
2024-07-25,3,11,1470.61,0,3950,20,3
2024-08-10,10,5,906.68,0,11797,10,5
2024-05-21,5,16,1235.32,0,9236,5,1
2024-07-14,8,6,2066.68,0,7038,5,6
2024-01-05,9,9,1245.45,0,10284,5,4
2024-01-10,3,20,1092.01,0,2977,10,2
2024-01-01,2,17,1003.75,0,15696,0,0
2024-10-16,3,10,972.66,0,7424,0,2
2024-11-04,9,8,533.87,0,3695,10,0
2024-02-06,1,7,1476.28,0,6915,15,1
2024-02-09,8,1,635.86,0,13896,20,4
2024-12-28,7,2,2028.9,0,6642,20,5
2024-08-06,7,14,1825.26,0,10469,0,1
2024-08-06,5,8,1475.56,0,6365,10,1
2024-04-06,8,1,0.0,1,9959,10,5
2024-11-06,9,12,727.4,1,9328,0,2
2024-05-30,7,17,565.97,0,4849,20,3
2024-03-18,5,9,1983.18,0,16079,20,0
2024-07-30,3,1,4430.52,1,5317,15,1
2024-01-01,10,5,723.13,0,10886,20,0
2024-05-28,6,10,1393.65,0,6859,0,1
2024-08-19,1,1,1161.28,0,13718,10,0
2024-05-15,7,18,602.79,0,10472,0,2
2024-12-05,3,20,1473.15,0,10049,20,3
2024-07-26,7,12,770.4,0,11434,10,4
2024-03-28,2,1,1872.18,0,11219,0,3
2024-03-21,5,10,1245.69,0,10987,15,3
2024-03-30,9,17,791.01,0,11624,5,5
2024-02-21,9,14,516.8,0,13920,15,2
2024-04-22,6,10,1466.0,0,10242,0,0
2024-01-26,7,13,1209.88,0,12981,5,4
2024-05-18,8,19,4378.49,1,7925,10,5
2024-05-05,5,20,1779.72,0,8240,20,6
2024-08-11,6,18,1345.76,0,5719,0,6
2024-09-19,4,6,1322.54,0,13321,0,3
2024-03-19,10,3,1953.4,0,16219,10,1
2024-07-06,2,9,2407.72,0,8096,5,5
2024-06-30,3,3,911.18,0,8924,0,6
2024-09-29,5,13,1464.31,0,10087,10,6
2024-08-13,3,12,1550.75,0,8866,20,1
2024-11-11,10,5,953.93,0,13133,10,0
2024-06-30,5,3,1227.43,0,5917,10,6
2024-03-10,4,6,1661.05,0,11884,20,6
2024-10-11,6,13,1141.96,0,9487,10,4
2024-01-03,10,14,1080.7,0,7803,0,2
2024-02-15,10,16,1512.53,0,18787,5,3
2024-11-01,6,10,1958.65,0,6407,5,4
2024-05-01,4,15,751.22,0,13419,0,2
2024-11-26,4,16,1764.43,0,14164,20,1
2024-01-12,10,16,1703.33,0,19228,20,4
2024-02-18,6,2,1211.51,0,8838,10,6
2024-04-15,4,19,1509.17,0,9339,0,0
2024-12-16,2,10,2352.26,0,4899,10,0
2024-11-04,3,6,911.87,0,11425,10,0
2024-01-09,4,13,991.2,0,6474,0,1
2024-07-25,5,8,1533.15,0,8400,15,3
2024-10-12,2,16,2015.82,0,6877,10,5
2024-08-11,10,15,2008.81,0,10866,15,6
2024-09-18,3,14,1569.77,0,8516,20,2
2024-09-06,8,10,539.14,0,11283,15,4
2024-10-09,5,17,2023.97,0,8822,5,2
2024-06-26,2,11,423.09,1,11923,10,2
2024-02-12,5,2,763.76,0,9122,0,0
2024-03-17,7,6,1286.17,0,11848,10,6
2024-12-25,4,13,1641.19,0,9763,15,2
2024-04-08,8,2,721.2,0,5968,0,0
2024-05-28,1,1,1198.33,0,8022,0,1
2024-07-11,6,11,1864.81,0,8582,5,3
2024-09-30,4,16,1477.05,0,12207,5,0
2024-11-12,2,10,2517.38,0,8208,15,1
2024-05-13,9,9,1208.97,0,6039,5,0
2024-08-07,4,7,1731.3,0,9353,20,2
2024-05-25,5,6,2319.27,0,9712,0,5
2024-08-23,5,8,1495.87,0,11595,20,4
2024-11-23,5,16,2214.18,0,8780,20,5
2024-09-30,9,1,1061.75,0,10369,0,0
2024-08-19,7,5,1708.41,0,8046,10,0
2024-01-02,1,3,1691.58,0,7087,20,1
2024-06-10,7,16,491.14,0,8215,0,0
2024-07-20,2,18,1335.41,0,5741,5,5
2024-10-18,4,10,545.46,0,3674,10,4
2024-04-12,5,4,1444.48,0,13718,0,4
2024-07-23,1,1,1166.95,0,15347,20,1
2024-09-05,10,17,560.53,0,13966,5,3
2024-03-16,10,15,2029.42,0,7841,20,5
2024-05-21,6,8,758.01,0,17027,15,1
2024-06-03,4,8,1103.14,0,8246,20,0
2024-09-09,8,13,478.83,0,12667,5,0
2024-06-21,9,11,1386.22,0,10452,0,4
2024-09-02,5,17,1954.17,0,11035,5,0
2024-10-04,7,2,1423.11,0,11345,5,4
2024-02-14,3,20,1034.91,0,10246,0,2
2024-09-18,5,14,1613.53,0,8232,5,2
2024-07-16,5,8,1469.5,0,11245,5,1
2024-11-23,3,6,896.43,0,9110,0,5
2024-05-03,10,1,1761.03,0,10351,5,4
2024-08-04,8,1,749.23,0,6013,0,6
2024-09-21,10,13,880.06,0,10568,0,5
2024-11-30,4,19,2343.18,0,9721,5,5
2024-12-28,6,1,1939.87,0,16017,0,5
2024-02-11,2,14,2078.71,0,10257,20,6
2024-07-28,2,5,1416.55,0,7628,15,6
2024-03-04,7,8,985.44,0,9440,0,0
2024-05-19,6,15,1876.06,0,8189,0,6
2024-01-04,1,11,741.22,0,10541,10,3
2024-03-22,3,20,1208.11,0,11972,5,4
2024-03-04,1,10,1843.84,0,9738,15,0
2024-07-19,3,1,713.26,0,9259,5,4
2024-07-24,5,19,846.52,0,4318,10,2
2024-01-18,5,16,1186.94,0,7546,10,3
2024-08-01,7,17,590.66,0,10817,5,3
2024-06-09,4,2,593.32,0,8566,5,6
2024-08-21,9,17,627.33,0,11209,5,2
2024-06-06,9,15,1238.65,0,15331,5,3
2024-08-08,3,3,556.03,0,5830,15,3
2024-10-29,1,20,1881.11,0,8950,15,1
2024-01-23,7,18,512.27,0,13018,20,1
2024-11-29,9,16,1780.98,0,5180,10,4
2024-12-13,5,7,1536.04,0,8873,5,4
2024-03-06,3,2,1391.44,0,7239,10,2
2024-08-12,9,7,855.58,0,4615,15,0
2024-12-26,4,18,1855.34,0,12625,5,3
2024-03-07,3,13,1846.97,0,9634,5,3
2024-08-19,8,10,727.08,0,9344,15,0
2024-08-14,3,19,1862.05,0,5850,5,2
2024-03-11,6,16,1304.71,0,8026,0,0
2024-04-24,7,14,1894.69,0,8392,5,2
2024-10-18,5,4,1662.7,0,10844,0,4
2024-05-10,7,18,770.46,0,4534,20,4
2024-10-08,9,6,974.54,0,7439,10,1
2024-06-30,2,11,839.97,0,8739,0,6
2024-12-09,6,14,1560.87,0,12280,20,0
2024-03-08,3,1,913.42,0,11477,10,4
2024-06-06,10,17,683.82,0,7836,0,3
2024-01-21,8,1,688.58,0,5692,0,6
2024-11-02,3,18,1379.73,0,9468,10,5
2024-02-19,8,9,1470.72,0,5887,0,0
2024-07-07,1,17,717.56,0,8188,0,6
2024-10-24,6,7,1589.36,0,7950,20,3
2024-05-28,10,5,638.73,0,6294,10,1
2024-11-13,2,15,867.84,0,15187,10,2
2024-03-19,9,4,888.02,0,5025,0,1
2024-07-28,10,18,2013.34,0,8425,5,6
